"","tcga.dataset","B-cells","DC","Macrophages","Exhausted CD8","T-cells","CD8 T cells","Neutrophils","Cytotoxic cells","Treg","NK CD56dim cells","Mast cells","NK cells","CD45","Th1 cells"
"TCGA.OR.A5KT.01A.11R.A29S.07","ACC",4.86849036985036,7.91912394246252,9.85999507486291,3.55922852604652,4.36290347206394,5.03159425626742,5.80725082066989,5.75006654214139,1.97052238530641,3.42420430314349,1.13628229387259,1.08413644564447,7.81061469003085,4.27085780946361
"TCGA.OR.A5LT.01A.11R.A29S.07","ACC",0.098639911369094,2.93852723802102,7.61179951282006,3.70151898067815,1.75638616343503,2.65088167785989,2.14215807458065,3.12526513167395,2.97337249018938,1.00095676952787,4.19936549095765,1.21881690690592,5.74741694076026,1.82822536035888
"TCGA.OR.A5K9.01A.11R.A29S.07","ACC",0.159579704313457,1.79856925033537,6.04539351257424,2.18065802767083,0.812128099403346,1.70805505244486,1.72008953823553,0.758711534804274,3.01671024793567,0.988452438987416,1.26738281062225,0,4.70409730365561,0
"TCGA.OR.A5LE.01A.11R.A29S.07","ACC",0.128567600393328,1.17845007540289,4.39414265549265,1.35666462336254,1.2684054915561,1.11482472180275,0.343919190549963,1.01496766046188,3.37905253247992,1.07044495994979,0.619793699753789,2.86711217529339,2.83802394984556,0.6915341649192
"TCGA.OR.A5LL.01A.11R.A29S.07","ACC",0.622247100408344,5.13254678549358,6.12312577703541,2.96464689398552,1.5452204132128,2.3082844666527,3.1205603098415,2.25432272310021,2.67840999714423,0.169111989887722,2.01347788595247,0.450965306367258,4.56868275216738,1.76243386516611
"TCGA.OR.A5JZ.01A.11R.A29S.07","ACC",0.532303142582008,3.38672375265781,7.65583590405333,4.41969280088475,2.98788883804714,4.09201676822902,2.4106788215629,4.26253605481862,3.55837785272628,0.655921280814668,3.57023034897866,2.23912428401861,7.15033525343107,2.12383170956602
"TCGA.OR.A5K1.01A.11R.A29S.07","ACC",0.971102747063902,3.246968212977,6.33290173778421,3.6863372150772,3.59588924138672,3.62932093515595,2.22942742431943,5.43230026715625,2.57939740511738,2.03110109427379,4.58146559375325,2.29973715886104,6.38904532368115,3.99148103055023
"TCGA.OR.A5LC.01A.11R.A29S.07","ACC",0.220441903484847,4.52890124717469,6.88951001173531,2.37790740752184,1.80586865567913,2.35963710181474,1.77575087032226,2.81880940027252,2.54022570059554,1.09115328208202,1.71299927332012,0.249028861009273,4.70607739446149,2.34215647026779
"TCGA.OR.A5LA.01A.11R.A29S.07","ACC",2.50444064174468,6.77272327776549,8.39105001496727,4.96820895029625,5.15136257806119,5.77854945863398,2.4559826550826,6.61536585002085,3.48823220067296,1.1767597011193,10.0147162495614,2.76051789023944,7.84502831464954,4.29524547515673
"TCGA.OR.A5K2.01A.11R.A29S.07","ACC",0.792902063766369,4.30811293637274,6.98079830574316,2.75232903905505,1.83443811643529,2.35811159095027,2.55669732091118,2.41975289767766,2.99151731107433,0.83425926513727,1.22702358841087,0.299389882632409,5.54777061173928,0.898169647897228
"TCGA.OR.A5L4.01A.11R.A29S.07","ACC",0.61775196685505,4.07430270136151,6.9014791957839,2.95890328951302,1.76898947793814,1.81319036340441,2.63292439529887,3.67960523173268,1.64524051264527,1.1560640859411,2.41113175224823,0.257801875760845,5.53599382315613,2.73872460933488
"TCGA.OR.A5K3.01A.11R.A29S.07","ACC",1.34501961390307,2.27655077868838,7.89087162842423,3.81866316090709,2.33297012837421,3.74105197491266,3.01584814364595,3.24987537485986,3.13338268435439,2.12893160238897,0.732051103701754,0,7.01203672690258,1.19767670921982
"TCGA.OR.A5LN.01A.11R.A29S.07","ACC",1.6142918299687,2.18067732027021,7.94484904876382,6.00796732753392,5.48915445142113,7.15260859018589,3.20881154179059,6.71426629917484,4.55795530208698,2.40837333565475,4.85818371559843,3.30851650345758,9.13660591489817,5.10961129573268
"TCGA.OR.A5L6.01A.11R.A29S.07","ACC",0.592960445172397,3.52855093484547,7.1106064241692,3.61533804611746,2.42058306322889,3.33735082850404,2.35038843141123,6.0824301331285,2.25005202530037,2.40499239561527,3.36021858106794,3.21848963920348,6.61759676023979,3.61058195849253
"TCGA.OR.A5K8.01A.11R.A29S.07","ACC",0.386691815489826,3.34424502085674,5.3914632601322,2.76161021802556,1.73249209309369,4.46062435520431,1.72483323869492,4.12988946551254,1.96450953338891,1.9108172656406,2.21971338357338,0.862403940627808,3.81377093201582,0
"TCGA.OR.A5L3.01A.11R.A29S.07","ACC",0.475914879158686,4.09695826980266,6.34880118015743,1.43693856768549,1.28103807054544,3.0270955317697,2.12724765990071,2.36183504200128,2.75917714376166,1.58228186294766,0.627910270479759,0,4.05528243550119,1.69247183524077
"TCGA.OR.A5LD.01A.11R.A29S.07","ACC",0.412296849445267,0.986855770458146,4.06234200301494,2.00467138649526,1.06799657828818,0.946428638116829,1.1627252970702,2.71281380888588,4.71504770784332,2.2394183066843,1.83601584464551,0.89474508640684,2.68423525922052,2.68423525922052
